ID,Poem Title,latitude,longitude,period,Dynasty of Poem,Keywords of Poem,author,region
1340483,复上书止讨蜀,,,秦汉时期,东汉,蜀道,隗嚣,
1342170,遗敕诸子,,,秦汉时期,东汉,蜀道,张霸,
1345691,黄陵庙记,,,隋唐五代十国,蜀汉,蜀道,诸葛亮,
1210304,上皇帝万言书,34.045335,104.392723,隋唐五代十国,唐,,李新,甘肃
1358475,周安昌公夫人郑氏墓志铭,,,三国两晋南北朝,北周,蜀道,庾信,
1697,蜀道难,,,三国两晋南北朝,陈朝,蜀道,阴铿,
3333,赠贺左丞萧舍人诗,,,三国两晋南北朝,陈朝,蜀道,江总,
1359155,狱中上隋文帝书,,,隋唐五代十国,隋,蜀道,于仲文,
7082,送蔡君知入蜀二首,,,隋唐五代十国,隋末唐初,蜀道,孔德绍,
32723,寄赠齐公,,,隋唐五代十国,隋末唐初,蜀道,杜淹,
1359380,讨薛举令,,,隋唐五代十国,隋末唐初,蜀道,李渊,
45992,送金竟陵入蜀,,,隋唐五代十国,隋末唐初,蜀道,崔信明,
42111,送费六还蜀,,,隋唐五代十国,初唐,蜀道,骆宾王,
1375135,东都神主议,34.045335,104.392723,宋辽金西夏元,南宋,,顾德章,甘肃
11556,至望喜瞩目言怀贻剑外知己,,,隋唐五代十国,初唐,蜀道,卢照邻,
11562,送郑司仓入蜀,,,隋唐五代十国,初唐,蜀道,卢照邻,
11576,于时春也慨然有江湖之思寄赠柳九陇,,,隋唐五代十国,初唐,蜀道,卢照邻,
11581,早度分水岭,33.027948,107.006472,宋辽金西夏元,北宋,,卢照邻,陕西
826970,咏泥,,,隋唐五代十国,唐初,蜀道,李君武,
826990,荣未及对又嘲,,,隋唐五代十国,唐,蜀道,灵辨,
1365112,洛州昭觉寺释迦牟尼佛金铜瑞像碑,,,隋唐五代十国,唐初,蜀道,李峤,
51665,奉和幸安乐公主山庄应制,,,隋唐五代十国,初唐,蜀道,薛稷,
8789,始平晚息,,,隋唐五代十国,初唐,蜀道,王勃,
33049,送刘校书从军,,,隋唐五代十国,初唐,蜀道,杨炯,
45750,赴西川途经虢县作,34.045335,104.392723,隋唐五代十国,唐初,蜀道,高骈,甘肃
34745,夏日晖上人房别李参军崇嗣,,,隋唐五代十国,唐,蜀道,陈子昂,
1364721,送严少府赴万安诗序,,,隋唐五代十国,唐,蜀道,张说,
28411,度巴硖,,,隋唐五代十国,盛唐,蜀道,李邕,
25518,上皇西巡南京歌十首,,,隋唐五代十国,盛唐,蜀道,李白,
25525,上皇西巡南京歌十首,,,隋唐五代十国,唐,蜀道,李白,
15178,新乐府 蛮子朝 刺将骄而相备位也,,,宋辽金西夏元,北宋,故道,白居易,
1157063,上漯川横垄商胡河图奏,,,隋唐五代十国,初唐,蜀道,贾昌朝,
826009,句,34.045335,104.392723,隋唐五代十国,初唐,蜀道,庞籍,
1256779,眉山王公玉台集序,34.045335,104.392723,宋辽金西夏元,北宋,,洪迈,甘肃
1365732,敕岁初处分,33.027948,107.006472,宋辽金西夏元,北宋,,张九龄,陕西
1239067,襄阳府重修州学记,33.027948,107.006472,宋辽金西夏元,南宋,,张嵲,陕西
1258169,请剿文州夷疏,34.045335,104.392723,宋辽金西夏元,北宋,,范成大,甘肃
1346197,诏迁郤正,31.44234,106.122822,隋唐五代十国,盛唐,蜀道,,
1340492,说公孙述,33.027948,107.006472,隋唐五代十国,唐,蜀道,荆邯,陕西
26485,赠从弟南平太守之遥二首,,,隋唐五代十国,唐,蜀道,李白,
30595,公安送李二十九弟晋肃入蜀余下沔鄂,,,隋唐五代十国,唐,蜀道,杜甫,
1343957,诸儿令,33.027948,107.006472,宋辽金西夏元,北宋,,曹操,陕西
31346,送梓州李使君之任,,,隋唐五代十国,唐,蜀道,杜甫,
31316,奉汉中王手札,,,隋唐五代十国,唐,蜀道,杜甫,
22591,早上五盘岭,,,隋唐五代十国,唐,蜀道,岑参,
12238,送庞判官赴黔中,,,隋唐五代十国,唐,蜀道,司空曙,
1367693,送成都成少尹赴蜀序,,,隋唐五代十国,唐,蜀道,独孤及,
1368472,剑南节度判官崔君墓志铭,,,隋唐五代十国,中唐,蜀道,常衮,
48860,送长史李少府入蜀,,,隋唐五代十国,唐,蜀道,韩翃,
11401,秋中野望寄舍弟绶兼令呈上西川尚书舅,,,隋唐五代十国,中唐,蜀道,卢纶,
43803,送崔明府赴青城,,,隋唐五代十国,中唐,蜀道,耿湋,
28266,奉和武相公春晓闻莺,,,隋唐五代十国,唐,蜀道,李益,
1373524,上襄阳楚大夫书,,,宋辽金西夏元,北宋,蜀道,苻载,
14798,南湖晚秋,,,秦汉时期,东汉,,白居易,
129054,叶秘书温知蜀州江原县,,,宋辽金西夏元,北宋,蜀道,杨亿,
167753,句,,,宋辽金西夏元,北宋,蜀道,庞籍,
171752,送何涉秀才,,,隋唐五代十国,唐,蜀道,范仲淹,
1205928,上安枢密书,34.045335,104.392723,宋辽金西夏元,北宋,,华镇,甘肃
1371208,南岳弥陀和尚碑,,,宋辽金西夏元,宋,,柳宗元,
34618,蜀道易,,,宋辽金西夏元,北宋,,陆畅,
40191,送李馀及第归蜀,,,隋唐五代十国,中唐,蜀道,姚合,
20228,闻范秀才自蜀游江湖,,,隋唐五代十国,唐,蜀道,许浑,
27786,龙夜吟,,,隋唐五代十国,唐,蜀道,李贺,
825939,读韩文公集十韵,,,隋唐五代十国,唐,蜀道,张祜,
7675,琵琶行,,,隋唐五代十国,中唐,蜀道,牛殳,
48483,过华清宫二十二韵,,,隋唐五代十国,唐,蜀道,温庭筠,
50238,蜀中战后感事,,,隋唐五代十国,中唐,蜀道,雍陶,
40273,送程秀才下第归蜀,,,隋唐五代十国,唐,蜀道,姚鹄,
37805,谩天岭,,,隋唐五代十国,中唐,蜀道,罗隐,
9688,焦崖阁,,,隋唐五代十国,唐,蜀道,韦庄,
27600,送皇甫校书自蜀下峡归觐襄阳,,,隋唐五代十国,唐末,蜀道,李洞,
27603,闻杜鹃,,,隋唐五代十国,唐末至五代,蜀道,李洞,
10852,蜀驮引,,,隋唐五代十国,唐末,蜀道,冯涓,
171969,送蔡挺代父之蜀,,,隋唐五代十国,唐末,蜀道,范仲淹,
250564,成都书事百韵,,,隋唐五代十国,唐末至前蜀,蜀道,薛田,
1343969,假徐晃节令,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,曹操,陕西
1340371,封杨赐等诏,33.027948,107.006472,宋辽金西夏元,宋,蜀道,汉灵帝,陕西
1348881,木兰赋,31.44234,106.122822,宋辽金西夏元,北宋,,,
1376796,册赠刘崇望司空文,,,隋唐五代十国,唐,蜀道,钱珝,
21411,送人入蜀,,,隋唐五代十国,唐末至五代,蜀道,齐己,
1376699,白衣入翰林赋,,,隋唐五代十国,唐末至五代,蜀道,徐寅,
43720,采桑子,,,隋唐五代十国,前蜀,蜀道,花蕊夫人,
47297,蜀中送人游庐山,,,隋唐五代十国,后蜀,蜀道,释楚峦,
1147336,陈州谢恩表,,,宋辽金西夏元,北宋,蜀道,田锡,
1147781,雨赋,,,宋辽金西夏元,北宋,蜀道,吴淑,
75164,酬杨遂,,,宋辽金西夏元,北宋,蜀道,王禹偁,
1341705,风俗通义佚文卷三,33.027948,107.006472,隋唐五代十国,初唐,,应劭,陕西
55490,柳,,,宋辽金西夏元,北宋,蜀道,丁谓,
55470,江,,,宋辽金西夏元,北宋,蜀道,丁谓,
129018,大理赵寺丞世长知益州华阳县,,,宋辽金西夏元,北宋,蜀道,杨亿,
1341956,风俗通义佚文卷：氏姓下,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,应劭,陕西
494483,过李白坟,,,宋辽金西夏元,北宋,蜀道,胡宿,
182311,长卿,,,宋辽金西夏元,北宋,蜀道,胡宿,
105701,蜀地海棠繁媚有思加腻干丰条苒弱可爱北方所未见诸公作诗流播西人余素好玩不能自默然所道皆在前人陈迹中如国风申章亦无愧云,,,宋辽金西夏元,北宋,蜀道,宋祁,
1157959,送张端公转运两浙序,,,宋辽金西夏元,北宋,蜀道,宋祁,
99545,赣石,,,宋辽金西夏元,北宋,蜀道,余靖,
208555,哭王几道职方三首,,,宋辽金西夏元,北宋,蜀道,梅尧臣,
208494,送阆州驻泊荆供奉,,,宋辽金西夏元,北宋,,梅尧臣,
636,从军诗五首,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,王粲,陕西
209965,送杨浩秘丞入蜀,,,宋辽金西夏元,北宋,蜀道,梅尧臣,
209915,送吴季野,,,宋辽金西夏元,北宋,蜀道,梅尧臣,
210441,雷太简遗蜀鞭,,,宋辽金西夏元,北宋,,梅尧臣,
1336709,为曹洪与魏文帝书,33.027948,107.006472,宋辽金西夏元,北宋,蜀道,陈琳,陕西
209270,张斯立遂州司理,,,宋辽金西夏元,北宋,蜀道,梅尧臣,
209184,行路难,,,宋辽金西夏元,北宋,蜀道,梅尧臣,
83203,赴任嘉州初登栈道寄题姜潜至之读易堂,,,宋辽金西夏元,北宋,蜀道,石介,
83185,入蜀至左绵路次水轩暂憩,,,宋辽金西夏元,北宋,蜀道,石介,
83262,送冯司理之任彭州,,,宋辽金西夏元,北宋,蜀道,石介,
83289,蜀道自勉,,,宋辽金西夏元,北宋,蜀道,石介,
494229,路次覆盆驿,,,宋辽金西夏元,北宋,蜀道,王周,
123793,读长恨辞二首,,,三国两晋南北朝,汉,,李觏,
1336730,檄吴将校部曲文,33.027948,107.006472,隋唐五代十国,五代,,陈琳,陕西
83267,闻子规,,,宋辽金西夏元,北宋,蜀道,石介,
83314,宋颂九首,,,宋辽金西夏元,北宋,蜀道,石介,
1340797,计说鲍永,34.259695,108.784514,宋辽金西夏元,北宋,蜀道,冯衍,陕西
170206,送左殿丞入蜀,,,宋辽金西夏元,北宋,蜀道,欧阳修,
170209,送石扬休还蜀,,,宋辽金西夏元,北宋,蜀道,欧阳修,
