ID,Poem Title,latitude,longitude,period,Dynasty of Poem,Keywords of Poem,author,region,city,county,id_2
1340483,复上书止讨蜀,,,秦汉时期,东汉,蜀道,隗嚣,,,,1
1342170,遗敕诸子,,,秦汉时期,东汉,蜀道,张霸,,,,2
1345691,黄陵庙记,,,隋唐五代十国,蜀汉,蜀道,诸葛亮,,,,3
1210304,上皇帝万言书,34.045335,104.392723,隋唐五代十国,唐,,李新,甘肃,陇南市,,4
1358475,周安昌公夫人郑氏墓志铭,,,三国两晋南北朝,北周,蜀道,庾信,,,,5
1697,蜀道难,,,三国两晋南北朝,陈朝,蜀道,阴铿,,,,6
3333,赠贺左丞萧舍人诗,,,三国两晋南北朝,陈朝,蜀道,江总,,,,7
1359155,狱中上隋文帝书,,,隋唐五代十国,隋,蜀道,于仲文,,,,8
7082,送蔡君知入蜀二首,,,隋唐五代十国,隋末唐初,蜀道,孔德绍,,,,9
32723,寄赠齐公,,,隋唐五代十国,隋末唐初,蜀道,杜淹,,,,10
1359380,讨薛举令,,,隋唐五代十国,隋末唐初,蜀道,李渊,,,,11
45992,送金竟陵入蜀,,,隋唐五代十国,隋末唐初,蜀道,崔信明,,,,12
42111,送费六还蜀,,,隋唐五代十国,初唐,蜀道,骆宾王,,,,13
1375135,东都神主议,34.045335,104.392723,宋辽金西夏元,南宋,,顾德章,甘肃,陇南市,,14
11556,至望喜瞩目言怀贻剑外知己,,,隋唐五代十国,初唐,蜀道,卢照邻,,,,15
11562,送郑司仓入蜀,,,隋唐五代十国,初唐,蜀道,卢照邻,,,,16
11576,于时春也慨然有江湖之思寄赠柳九陇,,,隋唐五代十国,初唐,蜀道,卢照邻,,,,17
11581,早度分水岭,33.027948,107.006472,宋辽金西夏元,北宋,,卢照邻,陕西,汉中市,,18
826970,咏泥,,,隋唐五代十国,唐初,蜀道,李君武,,,,19
826990,荣未及对又嘲,,,隋唐五代十国,唐,蜀道,灵辨,,,,20
1365112,洛州昭觉寺释迦牟尼佛金铜瑞像碑,,,隋唐五代十国,唐初,蜀道,李峤,,,,21
51665,奉和幸安乐公主山庄应制,,,隋唐五代十国,初唐,蜀道,薛稷,,,,22
8789,始平晚息,,,隋唐五代十国,初唐,蜀道,王勃,,,,23
33049,送刘校书从军,,,隋唐五代十国,初唐,蜀道,杨炯,,,,24
45750,赴西川途经虢县作,34.045335,104.392723,隋唐五代十国,唐初,蜀道,高骈,甘肃,陇南市,,25
34745,夏日晖上人房别李参军崇嗣,,,隋唐五代十国,唐,蜀道,陈子昂,,,,26
1364721,送严少府赴万安诗序,,,隋唐五代十国,唐,蜀道,张说,,,,27
28411,度巴硖,,,隋唐五代十国,盛唐,蜀道,李邕,,,,28
25518,上皇西巡南京歌十首,,,隋唐五代十国,盛唐,蜀道,李白,,,,29
25525,上皇西巡南京歌十首,,,隋唐五代十国,唐,蜀道,李白,,,,30
15178,新乐府 蛮子朝 刺将骄而相备位也,,,宋辽金西夏元,北宋,故道,白居易,,,,31
1157063,上漯川横垄商胡河图奏,,,隋唐五代十国,初唐,蜀道,贾昌朝,,,,32
826009,句,34.045335,104.392723,隋唐五代十国,初唐,蜀道,庞籍,,陇南市,,33
1256779,眉山王公玉台集序,34.045335,104.392723,宋辽金西夏元,北宋,,洪迈,甘肃,陇南市,,34
1365732,敕岁初处分,33.027948,107.006472,宋辽金西夏元,北宋,,张九龄,陕西,汉中市,,35
1239067,襄阳府重修州学记,33.027948,107.006472,宋辽金西夏元,南宋,,张嵲,陕西,汉中市,洋县,36
1258169,请剿文州夷疏,34.045335,104.392723,宋辽金西夏元,北宋,,范成大,甘肃,陇南市,宕昌县,37
1346197,诏迁郤正,31.44234,106.122822,隋唐五代十国,盛唐,蜀道,,,,,38
1340492,说公孙述,33.027948,107.006472,隋唐五代十国,唐,蜀道,荆邯,陕西,汉中市,,39
26485,赠从弟南平太守之遥二首,,,隋唐五代十国,唐,蜀道,李白,,,,40
30595,公安送李二十九弟晋肃入蜀余下沔鄂,,,隋唐五代十国,唐,蜀道,杜甫,,,,41
1343957,诸儿令,33.027948,107.006472,宋辽金西夏元,北宋,,曹操,陕西,汉中市,,42
31346,送梓州李使君之任,,,隋唐五代十国,唐,蜀道,杜甫,,,,43
31316,奉汉中王手札,,,隋唐五代十国,唐,蜀道,杜甫,,,,44
22591,早上五盘岭,,,隋唐五代十国,唐,蜀道,岑参,,,,45
12238,送庞判官赴黔中,,,隋唐五代十国,唐,蜀道,司空曙,,,,46
1367693,送成都成少尹赴蜀序,,,隋唐五代十国,唐,蜀道,独孤及,,,,47
1368472,剑南节度判官崔君墓志铭,,,隋唐五代十国,中唐,蜀道,常衮,,,,48
48860,送长史李少府入蜀,,,隋唐五代十国,唐,蜀道,韩翃,,,,49
11401,秋中野望寄舍弟绶兼令呈上西川尚书舅,,,隋唐五代十国,中唐,蜀道,卢纶,,,,50
43803,送崔明府赴青城,,,隋唐五代十国,中唐,蜀道,耿湋,,,,51
28266,奉和武相公春晓闻莺,,,隋唐五代十国,唐,蜀道,李益,,,,52
1373524,上襄阳楚大夫书,,,宋辽金西夏元,北宋,蜀道,苻载,,,,53
14798,南湖晚秋,,,秦汉时期,东汉,,白居易,,,,54
129054,叶秘书温知蜀州江原县,,,宋辽金西夏元,北宋,蜀道,杨亿,,,,55
167753,句,,,宋辽金西夏元,北宋,蜀道,庞籍,,,,56
171752,送何涉秀才,,,隋唐五代十国,唐,蜀道,范仲淹,,,,57
1205928,上安枢密书,34.045335,104.392723,宋辽金西夏元,北宋,,华镇,甘肃,陇南市,,58
1371208,南岳弥陀和尚碑,,,宋辽金西夏元,宋,,柳宗元,,,,59
34618,蜀道易,,,宋辽金西夏元,北宋,,陆畅,,,,60
40191,送李馀及第归蜀,,,隋唐五代十国,中唐,蜀道,姚合,,,,61
20228,闻范秀才自蜀游江湖,,,隋唐五代十国,唐,蜀道,许浑,,,,62
27786,龙夜吟,,,隋唐五代十国,唐,蜀道,李贺,,,,63
825939,读韩文公集十韵,,,隋唐五代十国,唐,蜀道,张祜,,,,64
7675,琵琶行,,,隋唐五代十国,中唐,蜀道,牛殳,,,,65
48483,过华清宫二十二韵,,,隋唐五代十国,唐,蜀道,温庭筠,,,,66
50238,蜀中战后感事,,,隋唐五代十国,中唐,蜀道,雍陶,,,,67
40273,送程秀才下第归蜀,,,隋唐五代十国,唐,蜀道,姚鹄,,,,68
37805,谩天岭,,,隋唐五代十国,中唐,蜀道,罗隐,,,,69
9688,焦崖阁,,,隋唐五代十国,唐,蜀道,韦庄,,,,70
27600,送皇甫校书自蜀下峡归觐襄阳,,,隋唐五代十国,唐末,蜀道,李洞,,,,71
27603,闻杜鹃,,,隋唐五代十国,唐末至五代,蜀道,李洞,,,,72
10852,蜀驮引,,,隋唐五代十国,唐末,蜀道,冯涓,,,,73
171969,送蔡挺代父之蜀,,,隋唐五代十国,唐末,蜀道,范仲淹,,,,74
