id,region,event,author,dynasty,keyword,poemtype,poemid,authorid,province,city,county
1,,复上书止讨蜀,隗嚣,东汉,蜀道,文,1340483,6074,,,
2,,遗敕诸子,张霸,东汉,蜀道,文,1342170,3826,,,
3,,黄陵庙记,诸葛亮,蜀汉,蜀道,文,1345691,5324,,,
4949,四川,赠远,陆龟蒙,唐,,古风,34569,21017,四川,绵阳市,梓潼县
5,,周安昌公夫人郑氏墓志铭,庾信,北周,蜀道,文,1358475,10036,,,
6,,蜀道难,阴铿,陈朝,蜀道,古风,1697,11336,,,
7,,赠贺左丞萧舍人诗,江总,陈朝,蜀道,古风,3333,10455,,,
8,,狱中上隋文帝书,于仲文,隋,蜀道,文,1359155,11602,,,
9,,送蔡君知入蜀二首,孔德绍,隋末唐初,蜀道,古风,7082,12385,,,
10,,寄赠齐公,杜淹,隋末唐初,蜀道,排律,32723,11862,,,
11,,讨薛举令,李渊,隋末唐初,蜀道,文,1359380,13949,,,
12,,送金竟陵入蜀,崔信明,隋末唐初,蜀道,排律,45992,12407,,,
13,,送费六还蜀,骆宾王,初唐,蜀道,律诗,42111,21620,,,
7627,四川,跋李参政三峰楼诗,黄震,南宋,,文,1315024,36793,四川,绵阳市,江油市
15,,至望喜瞩目言怀贻剑外知己,卢照邻,初唐,蜀道,排律,11556,13478,,,
16,,送郑司仓入蜀,卢照邻,初唐,蜀道,排律,11562,13478,,,
18,,于时春也慨然有江湖之思寄赠柳九陇,卢照邻,初唐,蜀道,古风,11576,13478,,,
6661,四川,光禄少卿杜常可集贤校理知梓州制,刘攽,北宋,,文,1179037,22908,四川,绵阳市,梓潼县
20,,咏泥,李君武,唐初,蜀道,律诗,826970,16475,,,
21,,荣未及对又嘲,灵辨,唐,蜀道,古风,826990,18114,,,
22,,洛州昭觉寺释迦牟尼佛金铜瑞像碑,李峤,唐初,蜀道,文,1365112,15132,,,
23,,奉和幸安乐公主山庄应制,薛稷,初唐,蜀道,律诗,51665,19664,,,
24,,始平晚息,王勃,初唐,蜀道,绝句,8789,18262,,,
25,,送刘校书从军,杨炯,初唐,蜀道,排律,33049,17397,,,
27,,夏日晖上人房别李参军崇嗣,陈子昂,唐初,蜀道,古风,34745,20887,,,
28,,送严少府赴万安诗序,张说,唐,蜀道,文,1364721,15153,,,
29,,度巴硖,李邕,唐,蜀道,律诗,28411,15160,,,
30,,上皇西巡南京歌十首,李白,盛唐,蜀道,绝句,25518,15188,,,
31,,上皇西巡南京歌十首,李白,盛唐,蜀道,绝句,25525,15188,,,
49,,新乐府 蛮子朝 刺将骄而相备位也,白居易,唐,蜀道,乐府曲辞,15178,18804,,,
2253,,上漯川横垄商胡河图奏,贾昌朝,北宋,故道,文,1157063,29806,,,
26,甘肃,嵩山启母庙碑,崔融,初唐,蜀道,文,1364620,14914,甘肃,陇南市,武都区
17,陕西,早度分水岭,卢照邻,初唐,蜀道,古风,11581,13478,陕西,汉中市,
6662,四川,采访殿记,熊本,北宋,,文,1168675,28485,四川,绵阳市,梓潼县
6663,四川,宗室右龙武军大将军莱州团练使克懋妻安寿县君武氏墓志铭,沈括,北宋,,文,1182680,28492,四川,绵阳市,梓潼县
6898,四川,左目痛六言九首,刘克庄,南宋,,六言诗,90224,25254,四川,绵阳市,梓潼县
6664,四川,宿上亭驿,韦骧,北宋,,律诗,505919,34445,四川,绵阳市,梓潼县
33,,赠从弟南平太守之遥二首,李白,盛唐,蜀道,古风,26485,15188,,,
