id,content,heritage_id,title,type,rx_time,region_code,project_num,latitude,longitude,region
41,,23686,阳戏（酉阳土家面具阳戏）,传统戏剧,2021(第五批),500000,,29.556808,106.563288,四川
178,"申报地区或单位：甘肃省天祝藏族自治县
　　
　　藏族民歌是藏族地区主要的民间音乐形式，它可分为山歌（牧歌）、劳动歌、爱情歌、风俗歌、诵经调等类型。山歌在卫藏地区称为“拉鲁”，康巴地区称为“鲁”，安多地区称为“勒”，是一种在山野里自由演唱的歌曲。劳动歌在藏语中称为“勒谐”，种类甚多，几乎在各种劳动中都有特定的歌曲。爱情歌包括情歌和情茶歌，风俗歌则包括酒歌、猜情对歌、婚礼歌、箭歌、告别歌等。诵经调亦称“六字真言歌”，是信佛群众在寺院朝拜神佛时所唱的一种歌曲。
　　华锐藏族民歌流传于甘肃省武威市天祝藏族自治县及其周边区域，至今已有一千五百多年的历史。据敦煌文献资料的藏文残卷记载，古代藏人有用民歌作为交流沟通方式的习惯。到公元11世纪，“勒”体民歌成为安多藏区群众最为喜爱的民歌形式之一，逐步繁衍发展起来。作为安多藏人的一支，华锐藏人继承并发扬了“勒”体民歌的形式和内涵，逐渐形成独具地方特色的华锐藏族民歌。
　　华锐藏族民歌具有生动朴实、通俗易唱和抑扬顿挫的风格特征。按内容可分为叙事曲、情歌、哭嫁歌、讽喻歌、劝解曲、诙谐歌、迎宾曲等，内容丰富，种类齐全，其演唱形式包括独唱、对唱、齐唱、载歌载舞及问答式等多种，代表作品有《福禄绵羊歌》、《创世纪三部曲》、《席赞》等。
　　华锐藏族民歌盛行于各种集庆宴会和生活场合，它集娱乐性、艺术性、地方性、民族性于一体，肩负着文化启蒙的重任，其内容十分广泛，从原始宗教文化到历史地理，从风土人情到社会生产，全面反映了民族变迁历程中华锐藏人对生命的深刻体悟和对和谐自然的广泛认知，在表现广阔社会生活的同时，将伦理道德等意识形态内容贯注其中，成为一部华锐藏族社会生活的百科全书。目前，受传统生活方式快速变迁的影响，天祝县的民间艺术团体纷纷解散，而当地的音像保存手段又相对滞后。在此情势下，华锐藏族民歌的传播途径日趋狭窄，生存出现危机，急需尽快投入人力物力展开抢救保护工作。",12676,藏族民歌（华锐藏族民歌）,传统音乐,2008(第二批),620000,Ⅱ-115_02_620623,38.508199,100.428219,四川
257,,12480,多声部民歌（阿尔麦多声部民歌）,传统音乐,2014(第四批),510000,Ⅱ-030_04_513228,28.326742,104.557271,四川
260,"申报地区或单位：四川省茂县
　　
　　羌笛是一种由两根长约15至20厘米、筒孔大小一致的竹管并在一起，用丝线缠绕，管头插着竹簧的民间竖吹乐器。它主要用于独奏,有十余首古老的曲牌，乐曲内容相当广泛，主要是传达羌族人的思念向往之情。
　　赤布苏、沙坝地区的羌笛是秦汉战乱年间由南迁的羌族人从西部地区带来的。据史料记载，西汉前，羌笛面上有四孔，公元1世纪时由音乐家京房加一高音按孔，成为五孔。东汉马融在《长笛赋》中曾有“近世双笛从羌起”的记述。发展到近代，羌笛已成六孔。由此推断，羌笛的存在至少已有两千多年的历史了。
　　羌笛的声音常给人以虚幻迷离、动人心魄的感觉，羌族人民常用它来抒发自己喜怒哀乐、悲欢离合的种种情感。常演奏的曲目有《折柳词》、《思想曲》、《莎郎曲》等。
　　羌笛吹奏主要采用鼓腮换气法，一口气可吹奏几分钟，即使是一首简单曲调，其技艺性要求也很高。另外，羌笛在吹奏中还有喉头颤音、手指的上下滑音等技巧，加之双管制作的律差、双簧共振的音响，其音质和旋律独具特色。
　　制作羌笛一般选用杆直、筒圆、节长，且头尾粗细较均匀、竹肉厚薄有度、质地坚韧、纤维细密、不易开裂的箭竹为材料，并根据筒管的长短、厚薄、大小测定音准，孔距必须精确相等，否则音准不一。
　　由于羌族没有文字，其历史文化除了世代口传心授外，羌笛也成为交流、传承民族文化的一种重要渠道。羌笛的音律、音色、吹奏技巧独具特色，是我国民族乐器宝库中难得的珍品。",12526,羌笛演奏及制作技艺,传统音乐,2006(第一批),510000,Ⅱ-038_01_513223,28.326742,104.557271,广西壮族自治区
265,"申报地区或单位：四川省九寨沟县
　　
　　四川省阿坝藏族羌族自治州九寨沟县原为南坪县，这里是汉、藏、羌、回多民族杂居区，东北部与甘肃毗连。据史料记载，清代雍正年间，大批陕甘移民迁入南坪，陕甘文化、巴蜀文化及各民族文化在此交汇融合，形成了独具地方特色的南坪曲子。
　　南坪曲子以当地汉语方言演唱，表演时基本采用弹唱的形式，主要以南坪琵琶伴奏，也常配以瓷碟、碰铃等打击乐器。
　　南坪曲子按其曲调结构和演唱风格可分为“花曲子”和“背工曲子”两部分，其中“花曲子”为短小精练的抒情性民歌，代表性作品有《采花》等。其结构多采用分节歌形式，有独唱、对唱、一领众和、齐唱等表现方式。它有“高腔”和“平调”两种演唱方法，“高腔”多用于男声，“平调”则男女皆可。“花曲子”节奏规整而又丰富多变，既有南方小调的平稳，又有北方小曲的活跃和跳荡，旋律酣畅流利，多为五声性，表现力很强。
　　“背工曲子”主要是演唱短、中篇故事的叙事性民歌，它有单曲体和联曲体两种结构。联曲方式有以某一曲牌作首尾，中间插入其他曲牌的，也有用不同曲牌联缀的。唱词多为长短句，文体包括叙事和叙事、代言结合两种类型。“背工曲子”的歌唱形式相对单一，仅有独唱和齐唱两种方式，演唱时男声均采用“高腔”。唱词吐字较重，节拍不甚规整，音域宽广，旋律跳动幅度大，带有很强的陈述性。其代表性作品有《盼红军》。
　　南坪曲子内容广泛，有爱情、农耕、历史传说等多种题材，在九寨沟历史文化、社会状况等方面的研究中有重要的参考作用。由于南坪曲子演唱难度较大，目前能比较完整地掌握其曲目和歌唱技巧的已不足三人，亟待采取保护措施。
　　",12618,南坪曲子,传统音乐,2008(第二批),510000,Ⅱ-088_02_513225,28.326742,104.557271,云南省
268,"申报地区或单位：四川省邛崃市
　　
　　制作号子是出现在制作劳动过程中的一种民间歌唱形式，它流行于各中小城镇和乡村的造纸、榨油、染布等手工业作坊中，节奏鲜明，唱腔丰富多样，主要以吆号声协调动作。
竹麻号子是造纸工人劳动时演唱的一种民歌形式，主要流传于川西一带，尤以四川省邛崃市平乐镇同乐村的芦沟、金华村的金鸡沟、金河村的杨湾和花楸村最为盛行。
　　平乐镇早在宋代就以造纸闻名，当地手工造纸的全部流程约需三个月，在漫长而单调的生产劳动中，竹麻号子应运而生。领唱者手执长钩，将竹麻交给工人，同时唱起号子以统一劳动节奏，一领众和，速度由慢到快，接近收工时，情绪达到高潮，气氛热烈异常。打竹麻过程中往往要演唱多样的号子，时而激越，时而舒缓，形式和内容都较为丰富。竹麻号子的代表性作品有《上工号子》、《中午号子》、《收工号子》等。
　　竹麻号子是目前川西地区保存和传唱较久的民间劳动号子，其唱腔原始质朴、悠扬婉转、充满激情，可单唱也可联唱，形式灵活多样。千百年来竹麻号子唱调基本没有变化，只有唱词内容随社会政治、经济状况和生产生活方式的变化而不断改变。竹麻号子具有浓郁的川西地方特色，生动反映了川西一带的民俗风情和乡土文化，展现出古蜀文化的风采神韵，它是传统民族文化的重要组成部分，在丰富和活跃当地群众文化生活方面具有一定的作用，可以为民间造纸工艺的研究提供极富价值的材料。随着科学技术的进步，造纸业的生产方式发生了极大改变，与传统造纸生产紧密关联的竹麻号子发展停滞，生存空间日益缩小。目前整个平乐镇能完整演唱竹麻号子的仅有三到五人，长此以往，这种特色鲜明的民间音乐样式势必彻底消亡，必须尽快开展保护扶持工作，促进竹麻号子的传承与发展。",12644,制作号子（竹麻号子）,传统音乐,2008(第二批),510000,Ⅱ-102_02_510183,28.326742,104.557271,云南省
1,"申报地区或单位：山西省定襄县
　　
　　面花俗名“花馍”、“窝窝花”、“糕花”，也称“面塑”，是流行于山东、山西、河南、陕西、甘肃等北方地区的一种传统食用塑作艺术，同时也是一种与民众生活十分贴近的节俗艺术。面花的起源与传统民间的饮食和信仰习俗有着密切的关系，新疆吐鲁番阿斯塔那墓葬出土的唐代面塑遗物表明，这种民俗艺术在中国有着悠久的发展历史。在北方地区，面花塑作具有深厚的群众基础，每逢传统佳节，家家户户都会依照当地的习俗和惯例制作面花。这些面花制品形式多样、姿态各异，兼具供奉、观赏和食用等多种功能，也可以用作馈赠亲友的礼品，成为民间社会交往的重要媒介。这种自发的面花塑作活动充分展示了民众的审美理想和艺术才能，使蕴涵在民间习俗中的文化传统得到自然的传承和彰显。各地不尽相同的风土人情和礼俗讲究造成面花艺术丰富的表现形态和鲜明的地域特色，面花制品别致的造型和斑斓的色彩将传统节日的文化空间装点得分外美丽。
　　定襄面塑又称“定襄面花”，是流行于山西省定襄县一带的传统食用塑作艺术。面塑所表现的内容极为丰富，既有民间故事、戏曲人物，又有飞禽走兽、花鸟鱼虫、十二生肖等等。其形象塑造简练概括、粗犷豪放，夸张的形态显得朴实敦厚，透出一种天真烂漫的神韵，极富地方特色。定襄面塑反映着当地民众的饮食习俗和审美情趣，洋溢出民间艺术的素朴之美，它凭借丰厚的文化内涵引来关注目光，许多从事民俗和民间艺术研究的专家将定襄面塑与剪纸、刺绣、雕刻等民间艺术联系在一起进行综合性研究，从中探寻中国民族艺术的渊源和产生发展规律。目前，随着社会生活的变化，定襄面塑已逐渐遭到冷落，面临人亡艺绝的危险。如不抓紧抢救保护，这种珍贵的民间艺术将有失传之虞。",14093,面花（定襄面塑）,传统美术,2008(第二批),610323,Ⅶ-053_02_140921,34.36336,107.705647,山西省
24,"申报地区或单位：重庆市九龙坡区
　　
　　走马镇是重庆市九龙坡区的一个镇子，这里流传着一种由以“走马”（赶马）为职业的人群口头创作并传承的民间故事，人们通常将其称作“走马故事”。走马故事起源的确切年代无从稽考，但走马场建立于明末清初并很快得以兴盛，故事应与之同步发展，其产生形成至少已有四五百年的历史。
　　由于“走马”人群的生存环境和生活阅历与常人不同，所以他们创作和讲述的故事显示出某些特点。走马民间故事内容庞杂、类型多样，除了民间传说故事的一般类型，如神话仙话、风物传说、动植物传说、民俗传说和生活故事等外，还蕴藏着其他独特的文化信息，诸如巴人图腾龙蛇的传说等。作为古代巴文化的重要遗存，这类故事的数量相当大。
　　20世纪80年代编纂“中国民间文学三套集成”时，在该镇采录到的民间故事目录达10915个，记录完成数达9714则，另外还采集到民间歌谣三千余首、谚语四千余条，歇后语和俗语等四千余条。全镇民间故事家共316人，其中能讲1000则故事的有2人，能讲500至1000则的有3人，能讲200至500则的有10人。
　　走马民间故事具有讲述时机和场合的多样性、故事构成的多源性、本土文化与外来文化的共存性等特征。
　　1990年，走马镇被重庆市文化局命名为“民间文学之乡”；1992年，工农村被命名为“中国民间故事村”；1998年联合国教科文组织、中国民间文艺家协会联合授予魏显德“中国民间故事家”称号（全国共10人）。
　　目前，走马故事面临严重危机，主要问题在于传承乏人。抢救、保护走马故事，不仅可以丰富民众的文化生活，而且能够为人类学、文化学、宗教学、民族学和方言学等多种学科提供研究资料。",12215,走马镇民间故事,民间文学,2006(第一批),500000,Ⅰ-017_01_500107,29.556808,106.563288,重庆
23,"申报地区或单位：重庆市荣昌县
　　
　　夏布生产可溯源到东晋后期，唐代夏布被列为贡品，以江西万载和四川荣昌生产的夏布为主要代表。
　　万载夏布是江西传统手工布的典型，它起源于东晋，至今已有一千五百余年的历史。由于新织麻纱呈圆形，又称“圆纱夏布”。它与外地的扁纱夏布相比，质地更好，麻更精细、更耐用。这种夏布品质精细，边缩平整，织造均匀，色泽清秀，透气性强，凉爽清汗，不起皱，不变形，易洗涤，越洗越白，是一种纯手工、纯环保的产品，对人体和环境没有任何污染。由苎麻到夏布，整个生产工艺过程主要分为苎麻种植、原料制作、夏布制作三个部分、几十道工序。万载夏布按规格可分为四种，按品质分为五个品型，按等级分则有五等。万载夏布可用于服装、帷帐、工艺品等的制作，也可用来题诗作画。
　　荣昌县地处重庆市西部，夏布织造主要分布在该县的盘龙镇。荣昌夏布历史久远，汉代称为“蜀布”；唐宋时期为“斑布”、“筒布”，主要用作贡品。清代康熙年间作为商品生产，以后销往省外，甚至远销朝鲜、日本夏布织造场景和南洋等地，成为荣昌著名的传统手工艺品。荣昌盘龙镇夏布以苎麻为原料，成品有细布、粗布、罗纹布三大类别。其生产工艺包括打麻、挽麻团、挽麻芋子、牵线、穿扣、刷浆、织布、漂洗、整形、印洗等工序，织成的夏布细密平整，莹洁润滑，坚韧耐用。由于麻质的特性，这种布穿后易洗易干，古朴雅致，美观大方，凉爽吸汗，舒适宜人，是人们夏日衣着用料的上等佳品。
　　目前机械生产的化纤布日益增多，加之传统夏布的原料苎麻日益减少，夏布生产的利润越来越低，许多人不愿从事此项繁复的手工技艺，同时夏布的印染技艺也后继乏人。在此情况下，我国夏布织造技艺濒临消亡的危境，有待抢救保护。",14487,夏布织造技艺,传统技艺,2008(第二批),500000,Ⅷ-102_02_500226,29.556808,106.563288,重庆
25,,13122,玩牛,传统舞蹈,2014(第四批),500000,Ⅲ-121_04_500240,29.556808,106.563288,重庆
